relay,Lighthouse,Lodestar,Nimbus,Prysm,Teku
blocknative,0.07012260377358491,,0.04752175,0.07031621052631579,0.07707060869565217
bloxroute (ethical),0.10580582887700535,0.06551068965517241,0.050919259259259254,0.054772531055900624,0.05755770833333334
bloxroute (max profit),0.061883773234200745,0.10848116666666667,0.06562536764705883,0.06529359756097562,0.06680093278463649
bloxroute (regulated),0.08852933333333332,,0.0506703125,0.06623955223880597,0.05727626506024097
eden,0.11922110599078341,,0.1531764864864865,0.14784051515151514,0.1189783935742972
flashbots,0.10356522238163558,0.079,0.1145753164556962,0.10248430310880828,0.13578730414746545
manifold,0.08395221311475409,,0.07399625,0.07835692307692309,0.09297276595744682
none,0.044915902954150516,0.036182307692307694,0.03494067448680352,0.026426922330097087,0.02536551806588735
