relay,Lighthouse,Lodestar,Nimbus,Prysm,Teku
blocknative,1871.0,0.0,200.0,575.0,1102.0
bloxroute (ethical),1566.0,82.0,108.0,1704.0,450.0
bloxroute (max profit),3063.0,133.0,485.0,1800.0,4231.0
bloxroute (regulated),949.0,0.0,250.0,385.0,806.0
eden,1609.0,0.0,184.0,690.0,542.0
flashbots,34334.0,3.0,3792.0,44235.0,15503.0
manifold,1454.0,0.0,78.0,335.0,454.0
none,55560.0,213.0,5425.0,64029.0,25988.0
