relay,Lighthouse,Lodestar,Nimbus,Prysm,Teku
blocknative,400.0,0.0,41.0,158.0,147.0
bloxroute (ethical),196.0,33.0,26.0,613.0,77.0
bloxroute (max profit),620.0,51.0,113.0,445.0,734.0
bloxroute (regulated),300.0,0.0,49.0,72.0,179.0
eden,711.0,0.0,78.0,263.0,218.0
flashbots,8430.0,1.0,909.0,10649.0,3350.0
manifold,467.0,0.0,27.0,130.0,161.0
none,7775.0,13.0,719.0,8015.0,4048.0
