relay,Lighthouse,Lodestar,Nimbus,Prysm,Teku
blocknative,1780.0,0.0,189.0,521.0,1063.0
bloxroute (ethical),1505.0,72.0,97.0,1441.0,425.0
bloxroute (max profit),2867.0,111.0,433.0,1624.0,3943.0
bloxroute (regulated),835.0,0.0,242.0,358.0,742.0
eden,1358.0,0.0,154.0,576.0,453.0
flashbots,30464.0,2.0,3296.0,39442.0,13998.0
manifold,1429.0,0.0,75.0,315.0,440.0
none,52389.0,201.0,5112.0,60872.0,24258.0
