relay,slots,mevusage,sumreward,averagereward
flashbots,13992,30.89%,1653.90448,0.118203579
bloxroute (max profit),3942,8.70%,295.11489,0.074864254
blocknative,1063,2.35%,96.90683,0.091163528
eden,453,1.00%,57.47234,0.126870508
bloxroute (ethical),425,0.94%,34.03418,0.080080424
manifold,440,0.97%,30.59824,0.069541455
bloxroute (regulated),741,1.64%,72.03782,0.097217031
none,24240,53.51%,947.56105,0.039090802
