relay,slots,sumreward,averagereward
flashbots,10603,1024.91062,0.096662324
bloxroute (max profit),444,26.3811,0.059416892
blocknative,158,32.2327,0.20400443
eden,263,30.78369,0.117048251
bloxroute (ethical),610,36.95488,0.06058177
manifold,128,7.59574,0.059341719
bloxroute (regulated),72,4.467,0.062041667
none,7960,261.53713,0.032856423
