relay,slots,sumreward,averagereward
flashbots,8383,827.5913,0.098722569
bloxroute (max profit),618,36.8639,0.059650324
blocknative,400,60.70649,0.151766225
eden,710,80.99063,0.11407131
bloxroute (ethical),196,10.93708,0.055801429
manifold,466,26.79463,0.057499206
bloxroute (regulated),300,23.8814,0.079604667
none,7719,371.51303,0.048129684
