relay,slots,mevusage,sumreward,averagereward
flashbots,30459,32.91%,3200.80643,0.105085736
bloxroute (max profit),2866,3.10%,232.78438,0.081222742
blocknative,1778,1.92%,179.66326,0.101047953
eden,1357,1.47%,159.4741,0.117519602
bloxroute (ethical),1498,1.62%,95.23798,0.063576756
manifold,1429,1.54%,93.63694,0.0655262
bloxroute (regulated),835,0.90%,69.91015,0.083724731
none,52337,56.54%,3241.09703,0.061927452
