relay,slots,sumreward,averagereward
flashbots,3322,442.09035,0.133079576
bloxroute (max profit),731,44.9202,0.061450342
blocknative,145,10.55392,0.072785655
eden,218,25.78886,0.118297523
bloxroute (ethical),77,4.56491,0.059284545
manifold,161,9.62201,0.059764037
bloxroute (regulated),179,10.65613,0.059531453
none,4024,146.43918,0.036391446
